has,prefers,count
Em7,E7,105
Em7,C7,93
Em7,Fm,4
Em7,Dsus2,673
Em7,A,2777
Em7,C,4651
Em7,B,374
Em7,E,98
Em7,D,8759
Em7,G,7193
Em7,F,1550
Em7,G#m,5
Em7,A#,59
Em7,Asus2,147
Em7,Em,1278
Em7,Cm,51
Em7,D/F#,2187
Em7,Am,3258
Em7,D#,17
Em7,G/B,229
Em7,F#,276
Em7,Bm7,1154
Em7,D7,95
Em7,Gm,143
Em7,D5,48
Em7,F#m,250
Em7,Am7,2351
Em7,C/G,125
Cmaj7,Bbm,0
Cmaj7,Fmaj7,1219
Cmaj7,Cadd9,484
Cmaj7,C#m,15
Cmaj7,Em7,460
Cmaj7,Cmaj7,943
Cmaj7,Dm7,294
Cmaj7,Eb,16
Cmaj7,G7,44
Cmaj7,G5,1
Cmaj7,Dm,375
Cmaj7,Asus4,14
Cmaj7,Bb,23
Cmaj7,C#,2
Cmaj7,Bm,385
Cmaj7,Dsus4,128
Cmaj7,other,3657
Cmaj7,G#,4
Cmaj7,Dsus2,140
Cmaj7,E5,7
Cmaj7,A5,16
Cmaj7,E7,23
Cmaj7,C7,472
Cmaj7,Fm,49
Cmaj7,A,113
Cmaj7,C,1700
Cmaj7,B,66
Cmaj7,E,211
Cmaj7,D,1597
Cmaj7,G,3202
Cmaj7,F,1021
Cmaj7,F#,40
Cmaj7,G#m,0
Cmaj7,Asus2,279
Cmaj7,Em,2155
Cmaj7,A7,74
Cmaj7,Ab,9
Cmaj7,Cm,34
Cmaj7,D/F#,50
Cmaj7,Am,1432
Cmaj7,D#,12
Cmaj7,G/B,70
Cmaj7,B7,326
Cmaj7,Bm7,712
Cmaj7,D7,76
Cmaj7,Gm,38
Cmaj7,D5,12
Cmaj7,F#m,20
Cmaj7,Am7,781
Cmaj7,C/G,23
Dm7,Bbm,10
Dm7,Fmaj7,248
Dm7,Cadd9,18
Dm7,C#m,21
Dm7,Em7,806
Dm7,Cmaj7,230
Dm7,Dm7,690
Dm7,G/B,47
Dm7,D,143
Dm7,G7,2796
Dm7,A#,68
Dm7,Dm,426
Dm7,Asus4,1
Dm7,Bb,632
Dm7,C#,20
Dm7,Bm,33
Dm7,Db,0
Dm7,Dsus4,13
Dm7,other,6270
Dm7,G#,6
Dm7,A7,90
Dm7,E7,577
Dm7,C7,129
Dm7,Fm,106
Dm7,Dsus2,0
Dm7,A,270
Dm7,C,2506
Dm7,B,44
Dm7,E,371
Dm7,C/G,82
Dm7,G,3953
Dm7,F,1627
Dm7,F#,17
Dm7,G#m,0
Dm7,G5,14
Dm7,Asus2,3
Dm7,Em,435
Dm7,Ab,60
Dm7,Cm,68
Dm7,Am,1103
Dm7,D#,73
Dm7,Eb,104
Dm7,B7,33
Dm7,Bm7,54
Dm7,D7,110
Dm7,Gm,534
Dm7,D5,4
Dm7,F#m,20
Dm7,Am7,776
G/B,Bbm,4
G/B,Fmaj7,71
G/B,Cadd9,1482
G/B,Dm7,42
G/B,C#m,3
G/B,Em7,186
G/B,Cmaj7,98
G/B,A7,170
G/B,Eb,5
G/B,G7,29
G/B,G5,38
G/B,Dm,227
G/B,Asus4,30
G/B,Bb,247
G/B,C#,12
G/B,Bm,159
G/B,Db,6
G/B,Dsus4,99
G/B,other,3282
G/B,A5,33
G/B,Dsus2,27
G/B,G#,4
G/B,E7,39
G/B,C7,30
G/B,Fm,1
G/B,A,438
G/B,C,6473
G/B,B,17
G/B,E,80
G/B,D,1633
G/B,G,1027
G/B,F,895
G/B,F#,7
G/B,A#,32
G/B,Asus2,8
G/B,Em,695
G/B,Ab,1
G/B,Cm,94
G/B,D/F#,344
G/B,Am,4066
G/B,D#,0
G/B,G/B,322
G/B,B7,33
G/B,Bm7,7
G/B,D7,51
G/B,Gm,38
G/B,D5,1
G/B,F#m,15
G/B,Am7,1339
G/B,C/G,63
G7,Bbm,21
G7,Fmaj7,164
G7,Cadd9,95
G7,C#m,21
G7,Em7,110
G7,Cmaj7,609
G7,Dm7,359
G7,G/B,29
G7,G7,1118
G7,A#,37
G7,Dm,569
G7,Asus4,6
G7,Bb,299
G7,C#,21
G7,Bm,65
G7,Db,7
G7,other,3390
G7,G#,54
G7,A7,266
G7,E5,1
G7,A5,8
G7,E7,316
G7,C7,1186
G7,Fm,56
G7,Dsus2,3
G7,A,307
G7,C,20088
G7,B,34
G7,E,276
G7,D,858
G7,G,1278
G7,F,2075
G7,F#,58
G7,G#m,20
G7,G5,1
G7,Asus2,4
G7,Em,426
G7,Ab,88
G7,Cm,1422
G7,D/F#,33
G7,Am,1566
G7,D#,10
G7,Eb,81
G7,B7,43
G7,Bm7,77
G7,D7,614
G7,Gm,72
G7,D5,14
G7,F#m,8
G7,Am7,228
G7,C/G,168
A#,Bbm,26
A#,Fmaj7,6
A#,Cadd9,22
A#,C#m,71
A#,Em7,6
A#,Cmaj7,1
A#,Dm7,71
A#,G/B,5
A#,G7,27
A#,A#,2083
A#,Dm,2487
A#,Asus4,5
A#,Bb,136
A#,C#,585
A#,Bm,196
A#,Db,31
A#,B7,8
A#,Dsus4,1
A#,other,1821
A#,G#,3088
A#,A7,67
A#,E5,1
A#,A5,16
A#,E7,4
A#,C7,103
A#,Fm,539
A#,Dsus2,2
A#,A,2007
A#,C,6322
A#,B,742
A#,E,233
A#,D,1214
A#,G,1560
A#,F,8707
A#,G#m,193
A#,G5,17
A#,Ab,89
A#,Em,119
A#,D#m,545
A#,Cm,2337
A#,D/F#,1
A#,Am,845
A#,D#,4572
A#,Eb,186
A#,Asus2,6
A#,F#,927
A#,Bm7,17
A#,D7,73
A#,Gm,2041
A#,D5,40
A#,F#m,51
A#,Am7,40
A#,C/G,6
Dm,Bbm,180
Dm,Fmaj7,542
Dm,Cadd9,295
Dm,C#m,293
Dm,Em7,293
Dm,Cmaj7,178
Dm,Dm7,1304
Dm,G/B,68
Dm,G7,3038
Dm,A#,3765
Dm,Dm,13655
Dm,Asus4,121
Dm,Bb,21988
Dm,C#,251
Dm,Bm,612
Dm,Db,89
Dm,Dsus4,352
Dm,other,10064
Dm,G#,92
Dm,A7,1340
Dm,E5,28
Dm,A5,33
Dm,E7,1646
Dm,C7,230
Dm,Fm,772
Dm,Dsus2,727
Dm,A,7787
Dm,C,39449
Dm,B,1088
Dm,E,6570
Dm,D,949
Dm,G,32347
Dm,F,35323
Dm,F#,87
Dm,G#m,33
Dm,G5,58
Dm,Ab,138
Dm,Em,6845
Dm,D#m,83
Dm,Cm,1480
Dm,D/F#,23
Dm,Am,35233
Dm,D#,777
Dm,Eb,1592
Dm,Asus2,21
Dm,B7,142
Dm,Bm7,59
Dm,D7,205
Dm,Gm,10100
Dm,D5,83
Dm,F#m,265
Dm,Am7,825
Dm,C/G,184
Asus4,Fmaj7,13
Asus4,Cadd9,425
Asus4,Dm7,1
Asus4,C#m,26
Asus4,Em7,385
Asus4,Cmaj7,23
Asus4,A7,171
Asus4,G5,92
Asus4,Dm,97
Asus4,Asus4,216
Asus4,Bb,49
Asus4,C#,9
Asus4,Bm,713
Asus4,B7,6
Asus4,Dsus4,126
Asus4,other,1403
Asus4,A5,73
Asus4,Dsus2,172
Asus4,E5,9
Asus4,G#,0
Asus4,E7,56
Asus4,C7,0
Asus4,Fm,9
Asus4,A,5490
Asus4,C,254
Asus4,B,31
Asus4,E,450
Asus4,D,1525
Asus4,G,1221
Asus4,F,56
Asus4,G#m,11
Asus4,A#,0
Asus4,Asus2,247
Asus4,Em,405
Asus4,Cm,3
Asus4,D/F#,122
Asus4,Am,716
Asus4,G/B,22
Asus4,F#,46
Asus4,Bm7,232
Asus4,D7,7
Asus4,Gm,21
Asus4,D5,93
Asus4,F#m,110
Asus4,Am7,58
Asus4,C/G,3
Bb,Bbm,980
Bb,Fmaj7,125
Bb,Cadd9,104
Bb,D#m,249
Bb,C#m,140
Bb,Em7,32
Bb,Cmaj7,42
Bb,Dm7,425
Bb,G/B,166
Bb,G7,310
Bb,G5,21
Bb,Dm,12605
Bb,Asus4,80
Bb,Bb,7918
Bb,C#,524
Bb,Bm,447
Bb,Db,646
Bb,B7,21
Bb,Dsus4,15
Bb,other,10554
Bb,G#,1811
Bb,A7,762
Bb,A5,15
Bb,E7,94
Bb,C7,808
Bb,Fm,1625
Bb,Dsus2,33
Bb,A,5101
Bb,C,30574
Bb,B,1406
Bb,E,786
Bb,D,2552
Bb,G,4456
Bb,F,45684
Bb,G#m,318
Bb,A#,25
Bb,Asus2,11
Bb,Em,233
Bb,Ab,4551
Bb,Cm,8129
Bb,D/F#,20
Bb,Am,4604
Bb,D#,1970
Bb,Eb,11343
Bb,F#,742
Bb,Bm7,16
Bb,D7,338
Bb,Gm,9244
Bb,D5,24
Bb,F#m,124
Bb,Am7,460
Bb,C/G,61
C#,Bbm,1390
C#,Fmaj7,3
C#,Cadd9,15
C#,C#m,499
C#,Em7,29
C#,Cmaj7,1
C#,Dm7,15
C#,G/B,6
C#,G7,31
C#,A#,463
C#,Dm,208
C#,Asus4,0
C#,Bb,616
C#,C#,3955
C#,Bm,909
C#,Db,22
C#,B7,26
C#,Dsus4,2
C#,other,6663
C#,G#,9366
C#,Dsus2,293
C#,E5,64
C#,A5,25
C#,E7,16
C#,C7,110
C#,Fm,1852
C#,A,3571
C#,C,1492
C#,B,8217
C#,E,2880
C#,D,3197
C#,G,558
C#,F,1182
C#,G#m,1532
C#,G5,3
C#,D#m,2985
C#,Em,130
C#,A7,32
C#,Ab,1255
C#,Cm,669
C#,D/F#,16
C#,Am,139
C#,D#,3413
C#,Eb,997
C#,Asus2,60
C#,F#,10791
C#,Bm7,46
C#,D7,56
C#,Gm,72
C#,D5,41
C#,F#m,2905
C#,Am7,14
C#,C/G,14
Bm,Bbm,276
Bm,Fmaj7,54
Bm,Cadd9,556
Bm,C#m,3910
Bm,Em7,1083
Bm,Cmaj7,235
Bm,Dm7,54
Bm,Eb,67
Bm,G7,224
Bm,A#,185
Bm,Dm,1131
Bm,Asus4,498
Bm,Bb,703
Bm,C#,1118
Bm,Bm,11408
Bm,Db,50
Bm,B7,222
Bm,Dsus4,43
Bm,other,11910
Bm,G#,184
Bm,Dsus2,318
Bm,E5,57
Bm,A5,103
Bm,E7,1631
Bm,C7,40
Bm,Fm,393
Bm,A,56078
Bm,C,22117
Bm,B,849
Bm,E,15968
Bm,D,35595
Bm,G,64794
Bm,F,1235
Bm,G#m,263
Bm,G5,128
Bm,Asus2,318
Bm,Ab,68
Bm,Em,25646
Bm,A7,420
Bm,D#m,54
Bm,Cm,469
Bm,D/F#,534
Bm,Am,8785
Bm,D#,43
Bm,G/B,121
Bm,F#,3720
Bm,Bm7,934
Bm,D7,273
Bm,Gm,539
Bm,D5,120
Bm,F#m,14203
Bm,Am7,670
Bm,C/G,181
Db,Bbm,1435
Db,Em7,1
Db,Cmaj7,2
Db,Dm7,10
Db,G7,17
Db,A#,35
Db,Dm,25
Db,Bb,380
Db,C#,8
Db,Bm,73
Db,Db,1208
Db,other,4887
Db,A5,3
Db,A7,5
Db,E5,16
Db,G#,277
Db,E7,8
Db,C7,103
Db,Fm,1205
Db,A,248
Db,C,794
Db,B,1101
Db,E,268
Db,D,524
Db,G,73
Db,F,450
Db,G#m,29
Db,D#m,0
Db,Em,24
Db,Ab,4683
Db,Cm,509
Db,Am,51
Db,D#,3
Db,Eb,2840
Db,F#,1270
Db,Bm7,1
Db,Gm,35
Db,D5,3
Db,F#m,144
Db,Am7,1
B7,Bbm,7
B7,Fmaj7,14
B7,Cadd9,41
B7,D#m,5
B7,C#m,298
B7,Em7,792
B7,Cmaj7,119
B7,Dm7,18
B7,G/B,5
B7,G7,27
B7,A#,6
B7,Dm,118
B7,Asus4,5
B7,Bb,39
B7,C#,28
B7,Bm,130
B7,Db,2
B7,Dsus4,7
B7,other,2634
B7,G#,124
B7,A7,465
B7,E5,104
B7,A5,5
B7,E7,1221
B7,C7,218
B7,Fm,6
B7,Dsus2,56
B7,A,1782
B7,C,2460
B7,B,272
B7,E,8929
B7,D,657
B7,G,956
B7,F,144
B7,F#,205
B7,G#m,113
B7,G5,17
B7,Asus2,175
B7,Em,13210
B7,Ab,33
B7,Cm,66
B7,D/F#,30
B7,Am,1003
B7,D#,86
B7,Eb,21
B7,B7,1022
B7,Bm7,123
B7,D7,92
B7,Gm,19
B7,F#m,404
B7,Am7,212
B7,C/G,88
Dsus4,Fmaj7,17
Dsus4,Am,452
Dsus4,Dm7,15
Dsus4,C#m,10
Dsus4,Em7,1815
Dsus4,Cmaj7,25
Dsus4,A7,30
Dsus4,Eb,36
Dsus4,G7,13
Dsus4,G5,98
Dsus4,Dm,265
Dsus4,Asus4,107
Dsus4,Bb,22
Dsus4,C#,2
Dsus4,Bm,185
Dsus4,B7,6
Dsus4,Dsus4,332
Dsus4,other,1356
Dsus4,G#,0
Dsus4,Dsus2,247
Dsus4,A5,5
Dsus4,E7,7
Dsus4,C7,3
Dsus4,Fm,3
Dsus4,A,412
Dsus4,C,849
Dsus4,B,71
Dsus4,E,86
Dsus4,D,8359
Dsus4,G,3188
Dsus4,F,87
Dsus4,A#,4
Dsus4,Asus2,27
Dsus4,Ab,2
Dsus4,Em,910
Dsus4,D#m,1
Dsus4,Cm,3
Dsus4,D/F#,62
Dsus4,Cadd9,2364
Dsus4,D#,5
Dsus4,G/B,68
Dsus4,F#,537
Dsus4,Bm7,60
Dsus4,D7,91
Dsus4,Gm,35
Dsus4,D5,91
Dsus4,F#m,14
Dsus4,Am7,94
Dsus4,C/G,4
other,Bbm,3391
other,Fmaj7,4338
other,Cadd9,5468
other,C#m,8986
other,Em7,10621
other,Cmaj7,3910
other,Dm7,5106
other,G/B,3136
other,G7,3934
other,A#,1747
other,Dm,9059
other,Asus4,1636
other,Bb,11487
other,C#,6494
other,Bm,14767
other,Db,5223
other,B7,5053
other,Dsus4,1455
other,other,239275
other,G#,5229
other,C/G,3096
other,E5,5464
other,A5,5802
other,E7,4855
other,C7,4254
other,Fm,3944
other,Dsus2,2505
other,A,36536
other,C,41496
other,B,19168
other,E,36748
other,D,41291
other,G,55187
other,F,25008
other,G#m,3499
other,G5,7010
other,Ab,6890
other,Em,24243
other,A7,5440
other,D#m,2116
other,Cm,4624
other,D/F#,3625
other,Am,25667
other,D#,2281
other,Eb,5877
other,Asus2,3858
other,F#,13398
other,Bm7,7486
other,D7,4285
other,Gm,4747
other,D5,5748
other,F#m,11690
other,Am7,9650
G#,Bbm,1433
G#,Fmaj7,9
G#,Cadd9,3
G#,Dm7,0
G#,C#m,3370
G#,Em7,8
G#,Cmaj7,18
G#,A7,17
G#,G/B,23
G#,G7,140
G#,A#,4471
G#,Dm,100
G#,Bb,2320
G#,C#,7923
G#,Bm,241
G#,Db,112
G#,B7,19
G#,Dsus4,4
G#,other,5083
G#,G#,2827
G#,C/G,24
G#,E5,9
G#,A5,75
G#,E7,30
G#,C7,36
G#,Fm,2836
G#,Dsus2,8
G#,A,4209
G#,C,1449
G#,B,1681
G#,E,1743
G#,D,344
G#,G,2522
G#,F,1425
G#,G#m,249
G#,G5,12
G#,Ab,101
G#,Em,106
G#,D#m,545
G#,Cm,2935
G#,D/F#,5
G#,Am,721
G#,D#,6607
G#,Eb,1410
G#,Asus2,21
G#,F#,5587
G#,Bm7,24
G#,D7,6
G#,Gm,1044
G#,D5,3
G#,F#m,551
G#,Am7,41
A7,Bbm,8
A7,Fmaj7,80
A7,Cadd9,253
A7,C#m,146
A7,Em7,537
A7,Cmaj7,91
A7,Dm7,909
A7,Eb,24
A7,G7,208
A7,A#,84
A7,Dm,4657
A7,Asus4,54
A7,Bb,459
A7,C#,19
A7,Bm,757
A7,Db,4
A7,B7,379
A7,Dsus4,52
A7,other,4153
A7,A5,7
A7,A7,1507
A7,E5,20
A7,G#,24
A7,E7,1010
A7,C7,103
A7,Fm,8
A7,Dsus2,151
A7,A,1453
A7,C,2057
A7,B,184
A7,E,1060
A7,D,16224
A7,G,2683
A7,F,793
A7,G#m,25
A7,G5,4
A7,Asus2,5
A7,Ab,20
A7,Em,1081
A7,D#m,8
A7,Cm,53
A7,D/F#,147
A7,Am,341
A7,D#,27
A7,G/B,69
A7,F#,93
A7,Bm7,193
A7,D7,2943
A7,Gm,152
A7,D5,27
A7,F#m,341
A7,Am7,292
A7,C/G,186
E5,Cadd9,5
E5,C#m,118
E5,Em7,34
E5,Cmaj7,34
E5,Dm7,0
E5,G5,675
E5,Dm,26
E5,Bb,0
E5,C#,61
E5,Bm,84
E5,Db,19
E5,B7,8
E5,other,6255
E5,A5,1253
E5,Dsus2,79
E5,E5,1384
E5,G#,42
E5,E7,36
E5,C7,9
E5,Fm,3
E5,A,419
E5,C,142
E5,B,283
E5,E,339
E5,D,241
E5,G,222
E5,F,39
E5,G#m,32
E5,A#,1
E5,Asus2,147
E5,Ab,7
E5,Em,52
E5,A7,45
E5,D#m,1
E5,D/F#,5
E5,Am,136
E5,D#,11
E5,Eb,6
E5,F#,47
E5,Bm7,3
E5,D7,0
E5,Gm,7
E5,D5,1426
E5,F#m,75
E5,Am7,2
E5,C/G,13
A5,Bbm,1
A5,Fmaj7,7
A5,Cadd9,2
A5,C#m,57
A5,Em7,44
A5,Cmaj7,13
A5,Dm7,5
A5,Eb,2
A5,G7,3
A5,G5,1769
A5,Dm,30
A5,Asus4,86
A5,Bb,47
A5,C#,13
A5,Bm,154
A5,Db,8
A5,B7,5
A5,Dsus4,4
A5,other,6289
A5,A5,1129
A5,A7,15
A5,E5,1781
A5,G#,15
A5,E7,8
A5,Fm,0
A5,Dsus2,26
A5,A,242
A5,C,209
A5,B,71
A5,E,612
A5,D,459
A5,G,244
A5,F,101
A5,G#m,8
A5,A#,9
A5,Asus2,6
A5,Em,250
A5,Ab,21
A5,Cm,2
A5,D/F#,6
A5,Am,180
A5,G/B,2
A5,F#,98
A5,Bm7,17
A5,D7,31
A5,Gm,6
A5,D5,1243
A5,F#m,93
A5,Am7,34
A5,C/G,16
E7,Bbm,8
E7,Fmaj7,167
E7,Am,12394
E7,D#m,2
E7,C#m,128
E7,Em7,250
E7,Cmaj7,64
E7,Dm7,202
E7,Eb,29
E7,G7,110
E7,A#,14
E7,Dm,440
E7,Asus4,80
E7,Bb,47
E7,C#,48
E7,Bm,480
E7,Dsus4,8
E7,other,3442
E7,A5,20
E7,A7,2525
E7,E5,31
E7,G#,198
E7,E7,1486
E7,C7,56
E7,Fm,76
E7,Dsus2,19
E7,A,9268
E7,C,988
E7,B,261
E7,E,2435
E7,D,1357
E7,G,1465
E7,F,2004
E7,F#,120
E7,G#m,16
E7,G5,28
E7,Asus2,43
E7,Em,189
E7,Ab,50
E7,Cm,27
E7,D/F#,46
E7,Cadd9,40
E7,D#,10
E7,G/B,11
E7,B7,418
E7,Bm7,223
E7,D7,374
E7,Gm,71
E7,D5,19
E7,F#m,408
E7,Am7,1375
E7,C/G,29
C7,Bbm,55
C7,Fmaj7,484
C7,Cadd9,31
C7,C#m,15
C7,Em7,84
C7,Cmaj7,62
C7,Dm7,253
C7,Eb,136
C7,G7,495
C7,A#,37
C7,Dm,440
C7,Asus4,49
C7,Bb,447
C7,C#,60
C7,Bm,27
C7,Db,43
C7,Dsus4,2
C7,other,3126
C7,G#,27
C7,A7,206
C7,E5,10
C7,E7,53
C7,C7,878
C7,Fm,977
C7,Dsus2,27
C7,A,94
C7,C,989
C7,B,69
C7,E,162
C7,D,298
C7,G,1496
C7,F,8540
C7,F#,16
C7,G#m,7
C7,G5,0
C7,D#m,2
C7,Em,389
C7,Ab,28
C7,Cm,25
C7,D/F#,7
C7,Am,503
C7,D#,63
C7,G/B,12
C7,B7,551
C7,Bm7,64
C7,D7,294
C7,Gm,246
C7,D5,4
C7,F#m,16
C7,Am7,148
C7,C/G,10
Fm,Bbm,1712
Fm,Fmaj7,32
Fm,Cadd9,8
Fm,C#m,133
Fm,Em7,18
Fm,Cmaj7,46
Fm,Dm7,17
Fm,G/B,9
Fm,G7,230
Fm,A#,529
Fm,Dm,322
Fm,Asus4,3
Fm,Bb,1883
Fm,C#,3028
Fm,Bm,453
Fm,Db,1792
Fm,B7,32
Fm,other,4786
Fm,G#,2036
Fm,Dsus2,7
Fm,E5,13
Fm,A5,6
Fm,E7,29
Fm,C7,295
Fm,Fm,2166
Fm,A,434
Fm,C,6165
Fm,B,318
Fm,E,743
Fm,D,754
Fm,G,2456
Fm,F,363
Fm,G#m,278
Fm,G5,51
Fm,Ab,2182
Fm,Em,647
Fm,A7,6
Fm,D#m,201
Fm,Cm,3689
Fm,D/F#,1
Fm,Am,832
Fm,D#,1488
Fm,Eb,3235
Fm,Asus2,12
Fm,F#,1354
Fm,Bm7,10
Fm,D7,37
Fm,Gm,1900
Fm,D5,0
Fm,F#m,184
Fm,Am7,18
Fm,C/G,88
Dsus2,Fmaj7,127
Dsus2,Am,935
Dsus2,Dm7,32
Dsus2,C#m,42
Dsus2,Em7,510
Dsus2,Cmaj7,233
Dsus2,A7,54
Dsus2,Eb,47
Dsus2,G7,4
Dsus2,A#,77
Dsus2,Dm,415
Dsus2,Asus4,269
Dsus2,Bb,138
Dsus2,C#,283
Dsus2,Bm,445
Dsus2,B7,66
Dsus2,Dsus4,311
Dsus2,other,2180
Dsus2,A5,7
Dsus2,Dsus2,884
Dsus2,E5,40
Dsus2,E7,33
Dsus2,C7,10
Dsus2,Fm,5
Dsus2,A,2841
Dsus2,C,1068
Dsus2,B,180
Dsus2,E,865
Dsus2,D,3586
Dsus2,G,2028
Dsus2,F,429
Dsus2,G#m,0
Dsus2,G5,28
Dsus2,Asus2,662
Dsus2,Em,966
Dsus2,Cm,1
Dsus2,D/F#,22
Dsus2,Cadd9,631
Dsus2,D#,3
Dsus2,G/B,46
Dsus2,F#,370
Dsus2,Bm7,87
Dsus2,D7,38
Dsus2,Gm,73
Dsus2,D5,93
Dsus2,F#m,468
Dsus2,Am7,204
Dsus2,C/G,18
A,Bbm,201
A,Fmaj7,239
A,Cadd9,822
A,D#m,76
A,C#m,22931
A,Em7,1918
A,Cmaj7,157
A,Dm7,300
A,G/B,285
A,G7,190
A,G5,208
A,Dm,11877
A,Asus4,3946
A,Bb,3716
A,C#,3477
A,Bm,63739
A,Db,269
A,B7,3217
A,Dsus4,430
A,other,39802
A,A5,382
A,A7,6923
A,E5,533
A,G#,3177
A,E7,3000
A,C7,91
A,Fm,577
A,Dsus2,1356
A,A,57750
A,C,19993
A,B,49774
A,E,157062
A,D,170495
A,G,100723
A,F,7550
A,G#m,4544
A,A#,1485
A,Asus2,2683
A,Em,30099
A,Ab,1136
A,Cm,611
A,D/F#,1393
A,Am,5297
A,D#,283
A,Eb,281
A,F#,6867
A,Bm7,2349
A,D7,896
A,Gm,1348
A,D5,621
A,F#m,34084
A,Am7,430
A,C/G,161
C,Bbm,363
C,Fmaj7,6008
C,Am,125884
C,D#m,112
C,C#m,562
C,Em7,4241
C,Cmaj7,4254
C,Dm7,2896
C,Eb,2678
